distinct_id,duration_seconds
applicant-117498,1017.0
applicant-117502,1145.0
applicant-117504,1162.0
applicant-117510,318.0
applicant-117512,333.0
applicant-117517,410.0
applicant-117215,466.0
applicant-117518,375.0
applicant-117528,537.0
applicant-117529,316.0
applicant-117530,694.0
applicant-117521,2750.0
applicant-117532,1017.0
applicant-117540,264.0
applicant-117531,401.0
applicant-117508,173.0
applicant-117557,453.0
applicant-117561,632.0
applicant-117560,772.0
applicant-117654,1453.0
applicant-117571,948.0
applicant-117575,458.0
applicant-117572,402.0
applicant-117544,305.0
applicant-117668,474.0
applicant-117675,280.0
applicant-117679,879.0
applicant-117681,280.0
applicant-117687,389.0
applicant-117698,307.0
applicant-117699,524.0
applicant-118366,156.0
applicant-118373,217.0
applicant-117484,232.0
applicant-117507,197.0
applicant-117478,318.0
applicant-224764,536.0
applicant-292773,190.0
applicant-117541,301.0
applicant-117515,271.0
applicant-293984,304.0
applicant-118417,461.0
applicant-514571,341.0
applicant-117573,196.0
applicant-292585,279.0
applicant-518298,582.0
applicant-524111,297.0
applicant-524267,142.0
applicant-526461,211.0
applicant-526611,647.0
applicant-526699,142.0
applicant-526802,310.0
applicant-526803,422.0
applicant-526812,303.0
applicant-526899,1119.0
applicant-526916,342.0
applicant-526923,1022.0
applicant-527040,221.0
applicant-523405,156.0
applicant-527112,401.0
applicant-527137,1430.0
applicant-527169,544.0
applicant-527293,150.0
applicant-527303,249.0
applicant-527307,134.0
applicant-527305,505.0
applicant-527311,243.0
applicant-527318,286.0
applicant-527315,1077.0
applicant-527320,315.0
applicant-527306,1280.0
applicant-527324,460.0
applicant-527325,375.0
applicant-527327,362.0
applicant-527332,482.0
applicant-527342,186.0
applicant-527339,465.0
applicant-527369,219.0
applicant-527372,394.0
applicant-526827,521.0
applicant-527383,255.0
applicant-527393,347.0
applicant-526811,484.0
applicant-527061,347.0
applicant-527032,221.0
applicant-526927,264.0
applicant-527299,265.0
