distinct_id,duration_seconds
applicant-114660,402.0
applicant-114759,414.0
applicant-114781,367.0
applicant-114797,591.0
applicant-114801,618.0
applicant-114813,580.0
applicant-115216,235.0
applicant-115244,1391.0
applicant-115257,403.0
applicant-115261,768.0
applicant-115262,161.0
applicant-115279,292.0
applicant-115307,292.0
applicant-115308,1408.0
applicant-115274,349.0
applicant-115299,376.0
applicant-115246,682.0
applicant-115332,207.0
applicant-115345,1237.0
applicant-115377,293.0
applicant-115322,322.0
applicant-115368,247.0
applicant-115441,1068.0
applicant-115448,176.0
applicant-115494,591.0
applicant-115537,335.0
applicant-115547,469.0
applicant-115791,140.0
applicant-115743,277.0
applicant-115838,294.0
applicant-115852,325.0
applicant-115895,436.0
applicant-115960,238.0
applicant-115981,221.0
applicant-116091,158.0
applicant-115551,351.0
applicant-116122,1098.0
applicant-115349,214.0
applicant-116116,443.0
applicant-116076,247.0
applicant-116365,3042.0
applicant-116375,349.0
applicant-116377,279.0
applicant-116384,1096.0
applicant-116392,386.0
applicant-116393,688.0
applicant-116405,208.0
applicant-116410,675.0
applicant-116431,184.0
applicant-116423,222.0
applicant-116454,253.0
applicant-116472,590.0
applicant-116481,231.0
applicant-116485,236.0
applicant-116512,234.0
applicant-116520,222.0
applicant-116522,306.0
applicant-116524,278.0
applicant-116466,295.0
applicant-116557,539.0
applicant-116550,413.0
applicant-116567,454.0
applicant-116568,211.0
applicant-116569,251.0
applicant-116570,596.0
applicant-116571,906.0
applicant-116583,241.0
applicant-116573,447.0
applicant-116284,414.0
applicant-116588,423.0
applicant-116565,398.0
applicant-116615,462.0
applicant-116616,401.0
applicant-116621,572.0
applicant-116626,220.0
applicant-116639,537.0
applicant-116488,3816.0
applicant-116650,340.0
applicant-116651,572.0
applicant-116652,621.0
applicant-116656,292.0
applicant-116648,1190.0
applicant-116658,166.0
applicant-116666,381.0
applicant-116668,292.0
applicant-116671,310.0
applicant-116404,305.0
applicant-116696,343.0
applicant-116724,293.0
applicant-116727,192.0
applicant-116483,120.0
applicant-116737,238.0
applicant-116729,384.0
applicant-116735,216.0
applicant-116744,160.0
applicant-116746,303.0
applicant-116763,279.0
applicant-116765,175.0
applicant-116741,360.0
applicant-116773,370.0
applicant-116768,741.0
applicant-116752,750.0
applicant-116779,296.0
applicant-116786,540.0
applicant-116792,776.0
applicant-116820,316.0
applicant-116813,300.0
applicant-116829,2309.0
applicant-116828,189.0
applicant-116824,717.0
applicant-116835,523.0
applicant-116842,475.0
applicant-116759,170.0
applicant-116847,261.0
applicant-116853,659.0
applicant-116882,212.0
applicant-116885,571.0
applicant-116769,182.0
applicant-116908,187.0
applicant-116909,328.0
applicant-116914,256.0
applicant-116921,273.0
applicant-116881,153.0
applicant-116919,390.0
applicant-116929,192.0
applicant-116887,339.0
applicant-116948,171.0
applicant-116896,245.0
applicant-116906,745.0
applicant-116892,360.0
applicant-117037,320.0
applicant-117044,308.0
applicant-116891,293.0
applicant-117050,215.0
applicant-117063,582.0
applicant-117065,369.0
applicant-117066,620.0
applicant-116933,153.0
applicant-117064,655.0
applicant-117074,241.0
applicant-117079,550.0
applicant-117090,605.0
applicant-117099,463.0
applicant-117111,1895.0
applicant-117114,364.0
applicant-117130,371.0
applicant-117142,208.0
applicant-117156,360.0
applicant-117161,215.0
applicant-117165,308.0
applicant-117162,562.0
applicant-117177,1495.0
applicant-117181,967.0
applicant-117189,355.0
applicant-117191,343.0
applicant-117163,187.0
applicant-117192,933.0
applicant-117202,263.0
applicant-117204,276.0
applicant-117205,353.0
applicant-117207,286.0
applicant-117201,448.0
applicant-117221,244.0
applicant-117225,365.0
applicant-117226,687.0
applicant-117229,314.0
applicant-117232,275.0
applicant-117236,223.0
applicant-117243,380.0
applicant-117238,430.0
applicant-117251,476.0
applicant-117250,1338.0
applicant-117197,514.0
applicant-117280,182.0
applicant-117283,420.0
applicant-117286,405.0
applicant-117298,367.0
applicant-117301,594.0
applicant-117290,1811.0
applicant-117309,291.0
applicant-117125,397.0
applicant-117317,335.0
applicant-117257,206.0
applicant-117331,218.0
applicant-117188,968.0
applicant-117342,671.0
applicant-117343,188.0
applicant-117344,139.0
applicant-117345,576.0
applicant-117131,1005.0
applicant-117332,669.0
applicant-117363,179.0
applicant-117367,84.0
applicant-117375,525.0
applicant-117339,215.0
applicant-117383,553.0
applicant-117394,229.0
applicant-117370,214.0
applicant-117397,453.0
applicant-117408,299.0
applicant-117419,142.0
applicant-117424,475.0
applicant-117417,614.0
applicant-117441,559.0
applicant-117371,457.0
applicant-117448,2096.0
applicant-117458,331.0
applicant-117466,302.0
applicant-117467,796.0
applicant-117468,326.0
applicant-117477,255.0
