SNAP Income Pilot Translations 09132024(09092024) (1)
Translation Key,English,English (removed code),Spanish - from DTA,Spanish,Client or Staff-facing?,Added to Confluence?,Page/location,Error or info banner?,,,,,,,,,,,,,,,,,,
en.applicant_mailer.invitation_email.body_1.default,%{agency_acronym} wants you to verify your income as part of your SNAP application or recertification. The SNAP Income Pilot is a new tool designed to help you share your income data directly with %{agency_acronym} by logging into your payroll provider.,[agency] wants you to verify your income as part of your SNAP application or recertification. The SNAP Income Pilot is a new tool designed to help you share your income data directly with [agency] by logging into your payroll provider.,"[la agencia] quiere que usted verifique sus ingresos como parte de su solicitud o recertificación del Programa de Asistencia Nutricional Suplementaria (SNAP, por sus siglas en inglés). El Income Pilot (Piloto de ingresos) del SNAP es una nueva herramienta diseñada para ayudarlo a compartir los datos sobre sus ingresos directamente con [la agencia] iniciando sesión en su proveedor de nóminas.","%{agency_acronym} quiere que usted verifique sus ingresos como parte de su solicitud o recertificación del Programa de Asistencia Nutricional Suplementaria (SNAP, por sus siglas en inglés). El SNAP Income Pilot (Piloto de ingresos) es una nueva herramienta diseñada para ayudarle a compartir información de sus ingresos directamente con %{agency_acronym} iniciando sesión en su proveedor de nóminas.",Client,Yes,Email invite,,,,,,,,,,,,,,,,,,,
en.applicant_mailer.invitation_email.body_1.ma,%{agency_acronym} wants you to verify your income as part of your SNAP recertification. The SNAP Income Pilot is a new tool designed to help you share your income data directly with %{agency_acronym} by logging into your payroll provider.,[agency] wants you to verify your income as part of your SNAP recertification. The SNAP Income Pilot is a new tool designed to help you share your income data directly with [agency] by logging into your payroll provider.,"[la agencia] quiere que usted verifique sus ingresos como parte de su solicitud o recertificación del Programa de Asistencia Nutricional Suplementaria (SNAP, por sus siglas en inglés). El SNAP Income Pilot (Piloto de ingresos) es una nueva herramienta diseñada para ayudarlo a compartir los datos sobre sus ingresos directamente con [la agencia] iniciando sesión en su proveedor de nóminas.","%{agency_acronym} quiere que usted verifique sus ingresos como parte de su solicitud o recertificación del Programa de Asistencia Nutricional Suplementaria (SNAP, por sus siglas en inglés). El SNAP Income Pilot (Piloto de ingresos) es una nueva herramienta diseñada para ayudarle a compartir información de sus ingresos directamente con %{agency_acronym} iniciando sesión en su proveedor de nóminas.",Client,Yes,Email invite,,,,,,,,,,,,,,,,,,,
en.applicant_mailer.invitation_email.body_2_html.default,"This process is unique to you. Please don't share this invitation with anyone else. <strong>You have until %{deadline}, to complete your verification.</strong> Otherwise, you can request a new invitation.","This process is unique to you. Please don't share this invitation with anyone else. You have until [date], to complete your verification. Otherwise, you can request a new invitation.","Este proceso es solo para usted. Por favor, no comparta esta invitación con nadie más. Tiene hasta el [fecha], para realizar su verificación. De lo contrario, puede solicitar una nueva invitación.","Este proceso es solo para usted. Por favor, no comparta esta invitación con nadie más. <strong>Tiene hasta el %{deadline}, para realizar su verificación.</strong> De lo contrario, puede solicitar una nueva invitación.",Client,Yes,Email invite,,,,,,,,,,,,,,,,,,,
en.applicant_mailer.invitation_email.body_2_html.ma,"This process is unique to you. Please don't share this invitation with anyone else. <strong>You have until %{deadline}, to complete your verification.</strong>","This process is unique to you. Please don't share this invitation with anyone else. You have until [date], to complete your verification.","Este proceso es solo para usted. Por favor, no comparta esta invitación con nadie más. Tiene hasta el [fecha], para realizar su verificación.","Este proceso es solo para usted. Por favor, no comparta esta invitación con nadie más. <strong>Tiene hasta el %{deadline}, para realizar su verificación.</strong>",Client,Yes,Email invite,,,,,,,,,,,,,,,,,,,
en.applicant_mailer.invitation_email.body_3.default,"This is an optional tool. If you decide that you don't want to use it, you can provide income documents via the %{app_name} app, fax, mail, or in-person.","This is an optional tool. If you decide that you don't want to use it, you can provide income documents via the [agency] app, fax, mail, or in-person.","Esta es una herramienta opcional. Si decide que no desea usarla, puede suministrar los documentos de sus ingresos a través de la aplicación, fax, correo postal [de la agencia] o de forma presencial.","Esta es una herramienta opcional. Si decide que no desea usarla, puede proveer los documentos de sus ingresos a través de la aplicación %{app_name}, fax, correo postal o en persona.	",Client,Yes,Email invite,,,,,,,,,,,,,,,,,,,
en.applicant_mailer.invitation_email.body_3.ma,"This is an optional tool. If you decide that you don't want to use it, you can provide proof of your gross income and hours using %{app_name}, by fax, by mail, or in-person.","This is an optional tool. If you decide that you don't want to use it, you can provide proof of your gross income and hours using [agency app name], by fax, by mail, or in-person.","Esta es una herramienta opcional. Si decide que no quiere usarla, puede proporcionar el comprobante de sus ingresos brutos y horas usando [nombre de la aplicación de la agencia], por fax, por correo postal o en persona.","Esta es una herramienta opcional. Si decide no usarla, puede proveer el comprobante de sus ingresos brutos y horas usando %{app_name}, por fax, por correo postal o en persona.",Client,Yes,Email invite,,,,,,,,,,,,,,,,,,,
en.applicant_mailer.invitation_email.button,Verify your income,,,Verifique sus ingresos,Client,Yes,Email invite,,,,,,,,,,,,,,,,,,,
en.applicant_mailer.invitation_email.button_caption,"To verify your income with the SNAP Income Pilot, click the button below:",,"Para verificar sus ingresos con el SNAP Income Pilot, haga clic en el siguiente botón.","Para verificar sus ingresos con el SNAP Income Pilot, haga clic en el siguiente botón:",Client,Yes,Email invite,,,,,,,,,,,,,,,,,,,
en.applicant_mailer.invitation_email.footer,This is an automatically generated message from your SNAP agency. Please don’t reply to this email.,,Este es un mensaje generado automáticamente desde su agencia del SNAP. No conteste a este correo electrónico.,Este es un mensaje generado automáticamente desde su agencia de SNAP. Por favor no conteste a este correo electrónico.,Client,Yes,Email invite,,,,,,,,,,,,,,,,,,,
en.applicant_mailer.invitation_email.greeting,"Hello,",,¡Hola!,¡Hola!,Client,Yes,Email invite,,,,,,,,,,,,,,,,,,,
